test_id,test_index,nearest_mse_train_id,nearest_mse_train_index,nearest_mse,nearest_rmse,nearest_cosine_at_mse,nearest_cosine_train_id,nearest_cosine_train_index,max_cosine,mse_at_max_cosine,y_test,y_train_nearest_mse,label_conflict_nearest_mse,near_mse_flag,near_cosine_flag
test_1032,1032,train_1033,1033,0.0002943873405456543,0.017157720401883125,0.9995172619819641,train_1033,1033,0.9995172619819641,0.0002943873405456543,1,1,False,False,True
test_0291,291,train_0291,291,0.00033314526081085205,0.018252266570925713,0.9984344840049744,train_0291,291,0.9984344840049744,0.00033314526081085205,0,0,False,False,False
test_0394,394,train_0395,395,0.0005136430263519287,0.022663693875074387,0.9988798499107361,train_0395,395,0.9988798499107361,0.0005136430263519287,1,1,False,False,False
test_0217,217,train_0217,217,0.0005149543285369873,0.02269260585308075,0.9985471367835999,train_0217,217,0.9985471367835999,0.0005149543285369873,0,0,False,False,False
test_1100,1100,train_1101,1101,0.0005157589912414551,0.022710327059030533,0.9984749555587769,train_1101,1101,0.9984749555587769,0.0005157589912414551,0,0,False,False,False
test_0104,104,train_0105,105,0.0005898177623748779,0.024286163970828056,0.9980610013008118,train_0105,105,0.9980610013008118,0.0005898177623748779,0,0,False,False,False
test_0105,105,train_0105,105,0.0005924403667449951,0.024340098723769188,0.9980200529098511,train_0105,105,0.9980200529098511,0.0005924403667449951,0,0,False,False,False
test_0300,300,train_0300,300,0.0005941092967987061,0.024374356493353844,0.9977833032608032,train_0300,300,0.9977833032608032,0.0005941092967987061,0,0,False,False,False
test_0677,677,train_0674,674,0.0006113350391387939,0.024725191295146942,0.9982866644859314,train_0674,674,0.9982866644859314,0.0006113350391387939,0,0,False,False,False
test_0549,549,train_0549,549,0.0006271600723266602,0.02504316344857216,0.9990411996841431,train_0549,549,0.9990411996841431,0.0006271600723266602,0,0,False,False,True
test_0371,371,train_0372,372,0.0006498098373413086,0.025491368025541306,0.998599112033844,train_0372,372,0.998599112033844,0.0006498098373413086,0,0,False,False,False
test_0305,305,train_0306,306,0.0006555020809173584,0.02560277469456196,0.9974536299705505,train_0306,306,0.9974536299705505,0.0006555020809173584,0,0,False,False,False
test_1040,1040,train_1040,1040,0.0006821751594543457,0.026118483394384384,0.9987377524375916,train_1040,1040,0.9987377524375916,0.0006821751594543457,1,1,False,False,False
test_0296,296,train_0297,297,0.00068645179271698,0.026200225576758385,0.9968342185020447,train_0297,297,0.9968342185020447,0.00068645179271698,0,0,False,False,False
test_0177,177,train_0178,178,0.000708460807800293,0.026616927236318588,0.9984826445579529,train_0178,178,0.9984826445579529,0.000708460807800293,1,1,False,False,False
test_0298,298,train_0298,298,0.0007089078426361084,0.02662532404065132,0.9972656965255737,train_0298,298,0.9972656965255737,0.0007089078426361084,0,0,False,False,False
test_0216,216,train_0217,217,0.0007189512252807617,0.026813264936208725,0.9982263445854187,train_0217,217,0.9982263445854187,0.0007189512252807617,0,0,False,False,False
test_0218,218,train_0218,218,0.000723034143447876,0.026889294385910034,0.9978616833686829,train_0218,218,0.9978616833686829,0.000723034143447876,0,0,False,False,False
test_0299,299,train_0299,299,0.00073280930519104,0.02707045152783394,0.9969263076782227,train_0299,299,0.9969263076782227,0.00073280930519104,0,0,False,False,False
test_0290,290,train_0291,291,0.0007864087820053101,0.028042981401085854,0.9966942667961121,train_0291,291,0.9966942667961121,0.0007864087820053101,0,0,False,False,False
test_0644,644,train_0644,644,0.0007955729961395264,0.028205903246998787,0.9977059960365295,train_0644,644,0.9977059960365295,0.0007955729961395264,1,1,False,False,False
test_0302,302,train_0303,303,0.0007976442575454712,0.028242597356438637,0.9965266585350037,train_0303,303,0.9965266585350037,0.0007976442575454712,0,0,False,False,False
test_0671,671,train_0674,674,0.0008127391338348389,0.02850857935845852,0.9973560571670532,train_0674,674,0.9973560571670532,0.0008127391338348389,0,0,False,False,False
test_0210,210,train_0211,211,0.0008400380611419678,0.028983410447835922,0.9976000785827637,train_0211,211,0.9976000785827637,0.0008400380611419678,0,0,False,False,False
test_0368,368,train_0368,368,0.0008678436279296875,0.029459185898303986,0.997925877571106,train_0368,368,0.997925877571106,0.0008678436279296875,0,0,False,False,False
test_0534,534,train_0534,534,0.000902026891708374,0.030033761635422707,0.9967400431632996,train_0534,534,0.9967400431632996,0.000902026891708374,1,1,False,False,False
test_0599,599,train_0600,600,0.0009104609489440918,0.03017384558916092,0.9982873201370239,train_0600,600,0.9982873201370239,0.0009104609489440918,0,0,False,False,False
test_0632,632,train_0633,633,0.0009339749813079834,0.03056100383400917,0.9970991015434265,train_0633,633,0.9970991015434265,0.0009339749813079834,0,0,False,False,False
test_0058,58,train_0059,59,0.0009367465972900391,0.030606316402554512,0.9965770840644836,train_0059,59,0.9965770840644836,0.0009367465972900391,0,0,False,False,False
test_0367,367,train_0368,368,0.0010377168655395508,0.032213613390922546,0.9981387853622437,train_0368,368,0.9981387853622437,0.0010377168655395508,0,0,False,False,False
test_0829,829,train_0829,829,0.0010477900505065918,0.03236958384513855,0.9968687295913696,train_0829,829,0.9968687295913696,0.0010477900505065918,0,0,False,False,False
test_0293,293,train_0293,293,0.0010560154914855957,0.03249639272689819,0.9963341951370239,train_0293,293,0.9963341951370239,0.0010560154914855957,0,0,False,False,False
test_0640,640,train_0640,640,0.0010572969913482666,0.032516103237867355,0.9974346160888672,train_0640,640,0.9974346160888672,0.0010572969913482666,1,1,False,False,False
test_0301,301,train_0301,301,0.0010632425546646118,0.03260739892721176,0.9964852333068848,train_0301,301,0.9964852333068848,0.0010632425546646118,0,0,False,False,False
test_0069,69,train_0071,71,0.0010723769664764404,0.032747168093919754,0.9973891973495483,train_0071,71,0.9973891973495483,0.0010723769664764404,1,1,False,False,False
test_0964,964,train_0964,964,0.0010779500007629395,0.03283214941620827,0.9980180859565735,train_0964,964,0.9980180859565735,0.0010779500007629395,1,1,False,False,False
test_0201,201,train_0200,200,0.0010828077793121338,0.03290604427456856,0.996507465839386,train_0200,200,0.996507465839386,0.0010828077793121338,0,0,False,False,False
test_0361,361,train_0362,362,0.0010829567909240723,0.03290830925107002,0.9975161552429199,train_0362,362,0.9975161552429199,0.0010829567909240723,0,0,False,False,False
test_0023,23,train_0023,23,0.001094728708267212,0.033086683601140976,0.9959009289741516,train_0023,23,0.9959009289741516,0.001094728708267212,0,0,False,False,False
test_0570,570,train_0572,572,0.0011152029037475586,0.03339465335011482,0.9981486201286316,train_0572,572,0.9981486201286316,0.0011152029037475586,0,0,False,False,False
test_0855,855,train_0855,855,0.001128852367401123,0.0335983969271183,0.9979050755500793,train_0855,855,0.9979050755500793,0.001128852367401123,0,0,False,False,False
test_0149,149,train_0145,145,0.0011518299579620361,0.03393862023949623,0.9969586133956909,train_0145,145,0.9969586133956909,0.0011518299579620361,0,0,False,False,False
test_0100,100,train_0101,101,0.0011647045612335205,0.034127768129110336,0.9964844584465027,train_0101,101,0.9964844584465027,0.0011647045612335205,0,0,False,False,False
test_0623,623,train_0624,624,0.0011652112007141113,0.03413518890738487,0.9979667067527771,train_0624,624,0.9979667067527771,0.0011652112007141113,0,0,False,False,False
test_0980,980,train_0981,981,0.0011799633502960205,0.034350596368312836,0.9958496689796448,train_0981,981,0.9958496689796448,0.0011799633502960205,0,0,False,False,False
test_0213,213,train_0211,211,0.001180201768875122,0.034354064613580704,0.9970088601112366,train_0211,211,0.9970088601112366,0.001180201768875122,0,0,False,False,False
test_0198,198,train_0201,201,0.001180797815322876,0.03436273708939552,0.9964669942855835,train_0201,201,0.9964669942855835,0.001180797815322876,0,0,False,False,False
test_0539,539,train_0539,539,0.0011876225471496582,0.03446190059185028,0.9981726408004761,train_0539,539,0.9981726408004761,0.0011876225471496582,0,0,False,False,False
test_1106,1106,train_1108,1108,0.0011904537677764893,0.03450295329093933,0.996114194393158,train_1108,1108,0.996114194393158,0.0011904537677764893,0,0,False,False,False
test_1137,1137,train_1136,1136,0.0011919736862182617,0.03452497348189354,0.9974942207336426,train_1136,1136,0.9974942207336426,0.0011919736862182617,0,0,False,False,False
